"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"1" 2020 161 16 -11.431729 -29.386583 0.24006 0.24 1e-06
"2" 2020 161 16.5 -9.77979 -24.917391 0.240112 0.24 4.6e-05
"3" 2020 161 17 -8.877007 -22.727699 0.240158 0.24 4.5e-05
"4" 2020 161 17.5 -8.489922 -22.134321 0.2402 0.24 4.5e-05
"5" 2020 161 18 -8.150277 -21.568199 0.240239 0.240001 4.5e-05
"6" 2020 161 18.5 -7.954532 -21.724173 0.240433 0.240002 4.4e-05
"7" 2020 161 19 -6.882602 -22.077793 0.240787 0.240004 4.3e-05
"8" 2020 161 19.5 -7.24276 -22.200956 0.241291 0.240008 4.2e-05
"9" 2020 161 20 -7.733641 -22.305811 0.241943 0.240014 4.1e-05
"10" 2020 161 20.5 -8.302949 -22.470316 0.242741 0.240023 4e-05
"11" 2020 161 21 -8.914283 -22.672426 0.243866 0.240037 4e-05
"12" 2020 161 21.5 -4.680255 -20.69313 0.245004 0.240055 -2.8e-05
"13" 2020 161 22 -0.17687 -19.749805 0.246002 0.240078 -0.000112
"14" 2020 161 22.5 5.382971 -24.207737 0.2468 0.240106 -0.000217
"15" 2020 161 23 13.08592 -29.028147 0.247364 0.240137 -0.000335
"16" 2020 161 23.5 22.960344 -33.780781 0.247681 0.240171 -0.000459
"17" 2020 162 0 35.050415 -38.590118 0.247765 0.240204 -0.00058
"18" 2020 162 0.5 50.258709 -28.072847 0.247862 0.240238 -0.000728
"19" 2020 162 1 65.672791 -19.611645 0.24797 0.240269 -0.000904
"20" 2020 162 1.5 81.807701 -12.222228 0.248095 0.240296 -0.001078
"21" 2020 162 2 90.903496 -4.180494 0.248232 0.240309 -0.001241
"22" 2020 162 2.5 95.801163 3.396576 0.248304 0.240248 -0.001374
"23" 2020 162 3 112.980576 7.182334 0.248381 0.240173 -0.001414
"24" 2020 162 3.5 141.910278 3.896621 0.248393 0.240081 -0.001333
"25" 2020 162 4 162.655594 11.698323 0.248323 0.239986 -0.001353
"26" 2020 162 4.5 182.452209 13.647116 0.248196 0.23988 -0.001286
"27" 2020 162 5 207.228043 16.032372 0.247997 0.239761 -0.00123
"28" 2020 162 5.5 390.573151 -55.513653 0.247313 0.239549 -0.001212
"29" 2020 162 6 261.624023 15.050211 0.246997 0.239395 -0.001366
"30" 2020 162 6.5 415.608917 -63.016136 0.246268 0.239165 -0.001171
"31" 2020 162 7 249.568649 8.73054 0.245971 0.239017 -0.001208
"32" 2020 162 7.5 278.159729 -19.066078 0.245613 0.238851 -0.000982
"33" 2020 162 8 380.03717 -62.167023 0.244951 0.238638 -0.000973
"34" 2020 162 8.5 212.971237 9.500301 0.244732 0.238507 -0.00091
"35" 2020 162 9 353.157104 -60.911072 0.244093 0.23831 -0.000686
"36" 2020 162 9.5 179.112579 0.694612 0.243885 0.238204 -0.000654
"37" 2020 162 10 165.312592 -11.726699 0.243635 0.238112 -0.000471
"38" 2020 162 10.5 150.224167 -20.874483 0.243319 0.238039 -0.000376
"39" 2020 162 11 131.276947 -29.522305 0.242945 0.237986 -0.000251
"40" 2020 162 11.5 108.171753 -37.920654 0.242519 0.237957 -0.000104
"41" 2020 162 12 59.661686 -68.95562 0.242057 0.237969 0.000106
"42" 2020 162 12.5 54.753696 -59.090309 0.241632 0.237979 9.6e-05
"43" 2020 162 13 49.525753 -56.333546 0.241248 0.237988 9e-05
"44" 2020 162 13.5 44.715134 -54.980274 0.240902 0.237996 8.6e-05
"45" 2020 162 14 40.363781 -53.815414 0.240589 0.238002 8.3e-05
"46" 2020 162 14.5 36.414658 -52.601982 0.240306 0.238008 8e-05
"47" 2020 162 15 32.803711 -51.302391 0.240051 0.238012 7.8e-05
"48" 2020 162 15.5 29.848181 -51.428322 0.239819 0.238016 7.5e-05
"49" 2020 162 16 27.106075 -51.243439 0.239608 0.238019 7.3e-05
"50" 2020 162 16.5 24.583899 -51.031033 0.239415 0.238021 7e-05
"51" 2020 162 17 22.225557 -50.781311 0.239241 0.238023 6.8e-05
"52" 2020 162 17.5 20.004629 -50.486889 0.239083 0.238025 6.6e-05
"53" 2020 162 18 17.902983 -50.160095 0.238941 0.238026 6.5e-05
"54" 2020 162 18.5 16.378622 -45.15081 0.238811 0.238026 6.4e-05
"55" 2020 162 19 14.100565 -40.349178 0.238699 0.238027 6.3e-05
"56" 2020 162 19.5 12.395058 -35.964218 0.238601 0.238027 6.3e-05
"57" 2020 162 20 10.879797 -31.594965 0.238515 0.238026 6.3e-05
"58" 2020 162 20.5 9.519918 -27.337713 0.23844 0.238026 6.3e-05
"59" 2020 162 21 8.239228 -23.197783 0.238375 0.238025 6.3e-05
"60" 2020 162 21.5 13.19142 -23.909901 0.238342 0.238019 -3.3e-05
"61" 2020 162 22 14.505723 -24.497753 0.238365 0.238011 -0.000145
"62" 2020 162 22.5 19.23111 -26.024065 0.238425 0.237998 -0.000259
"63" 2020 162 23 23.798813 -26.39661 0.238519 0.237983 -0.000354
