"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"1" 2020 161 16 -14.234265 -63.06105 0.244679 0.240001 1e-06
"2" 2020 161 16.5 -16.842197 -51.109619 0.248064 0.240005 3.4e-05
"3" 2020 161 17 -16.749203 -40.591591 0.255087 0.240013 3.4e-05
"4" 2020 161 17.5 -16.028622 -34.506199 0.264194 0.240032 3.5e-05
"5" 2020 161 18 -15.278001 -29.447243 0.274805 0.240071 3.6e-05
"6" 2020 161 18.5 -16.775387 -28.249596 0.284705 0.240148 3.6e-05
"7" 2020 161 19 -18.300814 -27.66581 0.29384 0.24028 3.7e-05
"8" 2020 161 19.5 -19.857904 -27.149281 0.302134 0.24049 3.7e-05
"9" 2020 161 20 -21.462168 -26.559916 0.309524 0.2408 3.8e-05
"10" 2020 161 20.5 -23.091063 -25.894676 0.315951 0.24123 3.9e-05
"11" 2020 161 21 -24.740578 -25.154762 0.321379 0.241791 3.9e-05
"12" 2020 161 21.5 -18.537136 -23.55402 0.325294 0.242479 -4.3e-05
"13" 2020 161 22 -11.840364 -22.783291 0.327738 0.243265 -0.000129
"14" 2020 161 22.5 -4.300828 -21.571743 0.32883 0.244109 -0.000222
"15" 2020 161 23 3.808007 -20.524792 0.328718 0.244965 -0.00032
"16" 2020 161 23.5 12.512358 -19.541939 0.327564 0.245792 -0.00042
"17" 2020 162 0 21.687683 -18.560581 0.325565 0.246558 -0.000521
"18" 2020 162 0.5 45.164963 -12.036755 0.323768 0.247255 -0.000641
"19" 2020 162 1 68.070992 -7.004315 0.322139 0.247891 -0.000765
"20" 2020 162 1.5 91.249023 -2.483891 0.320646 0.248472 -0.000882
"21" 2020 162 2 58.116951 15.347116 0.319301 0.248976 -0.000974
"22" 2020 162 2.5 130.483307 5.34126 0.317817 0.249363 -0.001052
"23" 2020 162 3 164.929474 11.185043 0.316349 0.249694 -0.001066
"24" 2020 162 3.5 183.459808 13.044669 0.314913 0.249983 -0.001035
"25" 2020 162 4 214.556961 7.902854 0.313469 0.250227 -0.00101
"26" 2020 162 4.5 357.729279 -39.955223 0.311575 0.250377 -0.001029
"27" 2020 162 5 377.38382 -27.841961 0.309681 0.250487 -0.001091
"28" 2020 162 5.5 302.760315 7.485182 0.30819 0.250595 -0.001074
"29" 2020 162 6 426.757294 -34.982094 0.306357 0.250617 -0.001014
"30" 2020 162 6.5 420.545776 -35.905968 0.304552 0.250624 -0.000982
"31" 2020 162 7 298.981476 12.976233 0.303234 0.250667 -0.000925
"32" 2020 162 7.5 308.282898 -3.033989 0.301927 0.250688 -0.000814
"33" 2020 162 8 302.753662 -8.570697 0.300671 0.250698 -0.000754
"34" 2020 162 8.5 289.206512 -11.086676 0.299484 0.250703 -0.000692
"35" 2020 162 9 272.555542 -12.658554 0.298363 0.250707 -0.000623
"36" 2020 162 9.5 247.459549 -22.666807 0.297268 0.250723 -0.000524
"37" 2020 162 10 212.788239 -26.113426 0.296222 0.250759 -0.00043
"38" 2020 162 10.5 175.937592 -28.951996 0.295229 0.250815 -0.000325
"39" 2020 162 11 141.349792 -32.990353 0.294283 0.250892 -0.000207
"40" 2020 162 11.5 62.068195 -67.486992 0.293442 0.251025 8.1e-05
"41" 2020 162 12 62.175907 -56.269108 0.29262 0.25115 7.4e-05
"42" 2020 162 12.5 54.87949 -50.072117 0.291867 0.251269 6.9e-05
"43" 2020 162 13 47.85289 -46.061493 0.291179 0.251383 6.6e-05
